"id","videoId","titulo","canal","clase","vistas","grado","betweenness","closeness","comunidad"
"121","s4kx9UdjF_k","Cuida Tu Salud Mental | Frases de Abuela sobre Soltar y Cuidarte","Otro","Informal",55537,5,0,0.00743968940112099,1
"122","sEFtWblz114","🧠¿Cómo afectan las FINANZAS a la SALUD MENTAL?💵¿Estás listo para cambiar?😊","Otro","Informal",97,5,0,0.0793630169359882,5
"123","sFfxExoU2Kw","Hablemos de Salud Mental","Otro","Informal",287285,5,0,0.125339270549184,2
"124","sGk3mrt6cM8","5 Hábitos para tener una Salud Mental del 1% - Dr. Mora (Psiquiatra)","Otro","Informal",787168,5,0,0.142857142857143,4
"125","sSirgfQb7oA","Tertulia Saurológica Cap 25 - La Salud Mental en Base a la Saurología - Leta Yangós","Otro","Informal",1351,7,2,0.0697557939394851,8
"126","sVzTT8MpgaY","Cuidar Palabras: Impacto Profundo en la Salud Mental #shorts","Otro","Informal",117,5,0,0.00743968940112099,1
"127","t3MW2SOGkQU","¿Mejorar tu Salud Mental? Realiza estas ACCIONES","Otro","Informal",4003,5,6,0.0687965646048155,8
"128","tNQbp7MJUMk","Beneficios que aporta a tu salud mental tener un gato en casa","Otro","Informal",14957,5,0,0.00743968940112099,1
"129","tyv4sgj4lNs","Salud Mental - Gloriana Montero | Prédicas Cristianas 2023","Religioso","Informal",456451,5,0,0.00743968940112099,1
"130","v3xXZ-RzgBk","Un problema de SALUD MENTAL pudo ser el responsable del accidente de Air India","Otro","Informal",153753,5,0,0.142857142857143,4
"131","v8RsxCdmr2k","Salud Mental: Cómo Gestionar la Presión Social (Consejos)","Otro","Informal",921,6,0,0.0858992315231765,5
"132","vcXziU_jKb4","Salud mental y Autoestima: Aprender a vivir Sesión #1: Soy responsable de mi propio bienestar","Otro","Informal",1930,6,16,0.0214884454731954,3
"133","w0T_beJZAKc","Y si hacemos que hablar de #saludmental sea #viral ? #ansiedad #garras #nuevamusica #nasahistoires","Música","Informal",16688,7,16,0.0269973027608949,7
"134","w0Z1fXZYySw","Señales de Alerta: Salud Mental y Bienestar Emocional #shorts","Otro","Informal",752,6,0,0.0162631102119954,3
"135","x9-gDI554xM","✨ SALUD MENTAL SIN TABÚES","Otro","Informal",1290,5,0,0.00743968940112099,1
"136","xAF2ngyhj_I","Cómo vencer un bloqueo emocional","Otro","Informal",140547,6,1,0.0860412828135423,5
"137","y8Wst8ZuF2s","Promoción y Prevención de la Salud Mental | Pautas","Otro","Informal",482,5,0,0.0160011253469472,3
"138","yQDADFbPzsU","Mi salud mental en el trabajo cuelga de un hilo 🫠","Otro","Informal",396697,5,0,0.00743968940112099,1
"139","yRCHy8TGpDI","Vamos a trabajar en la salud mental","Otro","Informal",428,5,0,0.00743968940112099,1
"140","zdVzOTkg5P0","“Semillas del Bienestar”. Tema: &quot;Salud mental y derechos humanos&quot;","Otro","Informal",12075,5,0,0.0087115323199839,1
